School ,Subjects,lab coat,eyeglasses,facial hair,pencil/pen in pocket,unkempt appearance,test tubes,flasks,microscope,bunsen burner,experimental animals,other (symbols of research),books,filing cabinets,other (symbols of knowledge),solutions in glassware,machines,other (signs of technology),scientist gender,scientist race,overall appearance of scientist,Subjectspost,plab coat,peyeglasses,pfacial hair,ppencil/pen in pocket,punkempt appearance,ptest tubes,pflasks,pmicroscope,pbunsen burner,pexperimental animals,pother (symbols of research),pbooks,pfiling cabinets,pother (symbols of knowledge),psolutions in glassware,pmachines,pother (signs of technology),pscientist gender,pscientist race,poverall appearance of scientist,Subjectspostpost,pplab coat,ppeyeglasses,ppfacial hair,pppencil/pen in pocket,ppunkempt appearance,pptest tubes,ppflasks,ppmicroscope,ppbunsen burner,ppexperimental animals,ppother (symbols of research),ppbooks,ppfiling cabinets,ppother (symbols of knowledge),ppsolutions in glassware,ppmachines,ppother (signs of technology),ppscientist gender,ppscientist race,ppoverall appearance of scientist
Hartford ,H1-1,n,n,n,n,n,y,n,n,n,n,n,n,n,desk,y,n,n,m,don't know,P,H1-1,n,n,n,n,n,y,n,n,n,n,n,n,n,desk,y,n,n,m,don't know,P,H1-1,n,y,n,n,n,n,y,n,n,n,"facemask, volcano, eruption",n,n,desk,n,n,n,m,don't know,N
Hartford ,H1-2,y,y,n,n,n,y,y,y,n,n,n,n,y,n,y,n,n,f,white,P,H1-2,n,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,m,white,E,H1-2,y,y,n,n,n,n,y,n,n,n,"bubbling over, chemicals, frozen raqueteball, hammer, geodes, eiffel tower",n,n,desk,y,n,n,f,don't know,P
Hartford ,H1-3,n,n,n,n,yes (no body drawn),n,n,n,n,n,n,n,y,n,n,y (computer),n,f,hispanic,N,H1-3,n,n,n,n,n,y,y,n,n,y,n,n,y,desk,y,y (computer),n,f,hispanic,P,H1-3,n,n,n,n,n,n,y,n,n,n,"bubbling, vinegar, soap",n,n,desk,y,n,n,f,don't know,P
Hartford ,H1-4,n,n,n,n,n,n,y,y,n,n,n,n,n,desk,n,n,n,f,don't know,P,H1-4,y,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,H1-4,no secondary post data ,,,,,,,,,,,,,,,,,,,
Hartford ,H1-5,n,n,n,n,n,n,y,n,n,n,n,n,n,desk,n,n,n,f,don't know,N,H1-5,n,n,n,n,n,y,y,n,n,n,n,n,n,"desk, whiteboard",y,y but can't really tell what it is,n,f,don't know,P,H1-5,y,y,n,n,n,n,n,n,n,n,"outdoors, butterflies, magnifying glass, flowers, caterpillars",n,n,n,n,n,n,f,don't know,P
Hartford ,H1-6,n,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,volcano,m,white,P,H1-6,n,n,n,n,y,n,y,n,n,y,n,n,n,desk,n,y (rocket),n,m,don't know,E,H1-6,n,y,y,n,n,n,y,n,n,y,pig,n,n,desk,n,n,n,m,don't know,N
Hartford ,H1-7,n,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,f,white,N,H1-7,y,n,n,n,n,n,y,n,n,n,n,n,n,desk,y,n,n,f,white,N,H1-7,n,n,n,n,n,n,y,n,n,n,"gas cloud, chemicals, outdoors ",n,n,desk,y,n,n,f,don't know,P
Hartford ,H1-8,n,n,n,n,y,y,n,n,n,n,n,n,n,desk,y,y (computer),acid + lava = ?,m,don't know,E,H1-8,n,n,n,n,y,y,n,n,n,n,n,n,n,desk,y,y (computer),n,m,don't know,P,H1-8,no secondary post data ,,,,,,,,,,,,,,,,,,,
Hartford ,H1-9,y,y,n,n,n,n,y,n,n,n,n,n,n,desk,y,y (fridge),n,m,white,N,H1-9,n,n,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,m,white,N,H1-9,n,n,n,n,n,n,y,n,n,n,,n,n,desk,n,n,n,m,don't know,N
Hartford ,H1-10,n,n,n,n,y,y,n,n,n,n,n,n,n,desk,n,n,n,f,don't know,E ,H1-10,n,n,n,n,n,y,y,n,n,n,n,n,n,desk,y,n,n,f,don't know,P,H1-10,n,n,n,n,n,n,n,n,n,n,bottles of chemicals/stuff,n,n,desk,n,n,n,f,don't know,N
Hartford ,H1-11,n,y,n,n,n,y,y,n,n,n,n,n,n,desk,y,y (computer),n,m,Latino,N,H1-11,n,n,n,n,y,y,y,n,n,n,n,n,n,desk,y,y (computer),n,m,don't know,N,H1-11,n,n,n,n,y,y,y,n,n,n,"computer, chemicals, basketball court, dancing",n,n,desk,y,n,n,m,don't know,P
